选手名称,真名,name,team,team_h,ch,ls,FMVP,state,position,age,hero,,
一诺,徐必成,一诺(徐必成),成都AG超玩会,成都AG超玩会 BA黑凤梨,5,3,1,在役,发育路,20011226,公孙离 马可波罗 孙尚香,
钟意,陈家豪,钟意(陈家豪),成都AG超玩会,成都AG超玩会 重庆狼队,5,2,2,在役,打野,20041226,镜 夏侯惇 裴擒虎 大司命,
长生,谢承峻,长生(谢承峻),成都AG超玩会,成都AG超玩会,5,2,1,在役,中路,20040420,王昭君 干将莫邪 姜子牙,
大帅,孟家俊,大帅(孟家俊),成都AG超玩会,成都AG超玩会,5,2,0,在役,游走,20031124,少司缘 鲁班大师 孙膑,
轩染,刘明,轩染(刘明),成都AG超玩会,成都AG超玩会,5,2,0,在役,对抗路,20050516,姬小满 曹操 关羽 马超,
忆安,杜国豪,忆安(杜国豪),TCG,成都AG超玩会 TCG,0,0,0,在役,对抗路,20021221,姬小满 曹操,
笑影,汤佳杰,笑影(汤佳杰),上海EDGM,成都AG超玩会 济南RW侠 上海EDGM,0,0,0,在役,游走,20000115,鲁班大师 孙膑,
啊泽,李涛,啊泽(李涛),苏州KSG,成都AG超玩会 苏州KSG,0,0,0,在役,游走,20000323,猪八戒 关羽 张飞,
Cat,陈正正,Cat(陈正正),成都AG超玩会,成都AG超玩会 武汉EStarPro QGhappy 杭州LGD.NBW 上海RNGM,7,3,2,在役,游走,19980525,貂蝉 鲁班大师 孙膑,
未央,殷家宝,未央(殷家宝),成都AG超玩会,成都AG超玩会,0,0,0,退役,打野,20010808,镜 裴擒虎,
爱思,唐田,爱思(唐田),上海EDGM,成都AG超玩会 济南RW侠 上海EDGM,1,1,0,退役,教练,20000514,鲁班大师 孙膑,
梦泪,肖闽辉,梦泪(肖闽辉),成都AG超玩会,成都AG超玩会,0,0,0,退役,打野,19970817,梦泪 李白 韩信 裴擒虎,
小俞,周宇,小俞(周宇),成都AG超玩会,成都AG超玩会,1,0,0,在役,发育路,20050628,戈雅 敖隐 孙尚香 公孙离,
Best,郑国浩,Best(郑国浩),成都AG超玩会,成都AG超玩会 上海RNG.M 西安WE QGhappy,0,0,0,在役,对抗路,19991022,姬小满 曹操 关羽,
老帅,张宇辰,老帅(张宇辰),成都AG超玩会,成都AG超玩会 佛山DRG.GK 济南RW侠,1,1,1,退役,中路,19941012,妲己 干将莫邪,
久诚,曹志顺,久诚(曹志顺),郑州MTG,成都AG超玩会 南通Hero久竞 深圳DYG,3,3,3,在役,中路,19990607,干将莫邪 百里守约 王昭君,
阿楠/过儿,林甲楠,阿楠/过儿(林甲楠),成都AG超玩会,成都AG超玩会 济南RW侠,0,0,0,退役,中路,19990805,干将莫邪 王昭君,
